#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  7.68e+06  |1763315756|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  20|   1000000|     100|0.94547899|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.55020119|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.30281672|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.09054857|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.60545474|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.63172905|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.45666971|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.30018384|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.65865482|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.29741991|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.02687248|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.75669001|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.03530411|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.78782510|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.57777284|  PASSED  
             dab_dct| 256|     50000|       1|0.01213829|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.87986383|  PASSED  
        dab_filltree|  32|  15000000|       1|0.30410198|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.38433827|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.51388251|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.82539737|  PASSED  
