# name avg_runtime
"combinedLCGTaus" 15656.800000
"drand48gpu" 7598.000000
"kiss07" 9462.100000
"lfsr113" 18476.300000
"md5" 166415.900000
"mtgp" 23231.300000
"park_miller" 111323.400000
"precompute" 18695.700000
"ranecu" 23581.200000
"tea" 250254.900000
"tt800" 27718.200000
