# name avg_runtime
"combinedLCGTaus" 7586595.300000
"drand48gpu" 3608595.700000
"kiss07" 4586871.300000
"lfsr113" 9089844.700000
"md5" 7839147.700000
"mtgp" 10824432.500000
"park_miller" 53272623.000000
"precompute" 8887951.200000
"ranecu" 11182539.500000
"tea" 886654.100000
"tt800" 11836315.700000
