# name avg_runtime
"combinedLCGTaus" 760931.800000
"drand48gpu" 371058.900000
"kiss07" 472828.100000
"lfsr113" 910492.400000
"md5" 7982884.300000
"mtgp" 1081088.400000
"park_miller" 5308391.700000
"precompute" 891344.500000
"ranecu" 1122143.100000
"tea" 12386966.500000
"tt800" 1180428.600000
