#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  8.26e+06  |1403119208|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  20|   1000000|     100|0.91511122|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.10192370|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.94809543|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.03625108|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.73220529|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.35769204|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.09594763|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.30443600|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.89190203|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.21495229|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.30045806|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.56464734|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.44147399|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.52672263|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.00000000|  FAILED  
             dab_dct| 256|     50000|       1|0.00190618|   WEAK   
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.06252162|  PASSED  
        dab_filltree|  32|  15000000|       1|0.00000201|   WEAK   
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.00000000|  FAILED  
       dab_filltree2|   1|   5000000|       1|0.00000000|  FAILED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.99999948|  FAILED
