m = 0
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  9.05e+06  | 718145134|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  20|   1000000|     100|0.94198400|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.86333083|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.98051093|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.94111618|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.34059226|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.76348090|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.40026371|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.99176766|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.88123775|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.17572637|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.58004233|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.67804697|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.21821759|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.51072269|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.04296263|  PASSED  
             dab_dct| 256|     50000|       1|0.22002441|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.70346548|  PASSED  
        dab_filltree|  32|  15000000|       1|0.79651936|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.63803120|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.01305147|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.66723168|  PASSED
