# name avg_runtime
"combinedLCGTaus" 76265.800000
"drand48gpu" 35982.400000
"kiss07" 46065.600000
"lfsr113" 90761.700000
"md5" 818941.900000
"mtgp" 108345.000000
"park_miller" 565444.600000
"precompute" 90180.400000
"ranecu" 111826.200000
"tea" 1278499.500000
"tt800" 125956.800000
